Layer,Name,GEOID,Population,Longitude,Latitude,LDPC_2021,LDPC_2021_moe,LDPC_2020,LDPC_2020_moe,LDPC_2019,LDPC_2019_moe,LDPC_2018,LDPC_2018_moe,LDPC_2017,LDPC_2017_moe,LDPCH_2016,LDPCH_2016_moe,LDPCH_2015,LDPCH_2015_moe,LDPCH_2014,LDPCH_2014_moe,LDPCH_2013,LDPCH_2013_moe,LDPCH_2012,LDPCH_2012_moe,LDPCH_2011,LDPCH_2011_moe,LDPCH_2010,LDPCH_2010_moe,LDPP_2021,LDPP_2021_moe,LDPP_2020,LDPP_2020_moe,LDPP_2019,LDPP_2019_moe,LDPP_2018,LDPP_2018_moe,LDPP_2017,LDPP_2017_moe,LDPPH_2016,LDPPH_2016_moe,LDPPH_2015,LDPPH_2015_moe,LDPPH_2014,LDPPH_2014_moe,LDPPH_2013,LDPPH_2013_moe,LDPPH_2012,LDPPH_2012_moe,LDPPH_2011,LDPPH_2011_moe,LDPPH_2010,LDPPH_2010_moe,EDG-I_2017-2021,EDG-I_2017-2021_moe,EDG-I_2016-2020,EDG-I_2016-2020_moe,EDG-I_2014-2018,EDG-I_2014-2018_moe,EDG-I_2015-2019,EDG-I_2015-2019_moe,DIV_2017-2021,DIV_2017-2021_moe,DIV_2016-2020,DIV_2016-2020_moe,DIV_2015-2019,DIV_2015-2019_moe,DIV_2014-2018,DIV_2014-2018_moe
Community area,Rogers Park,1,"52,772",-87.67017100,42.00963000,30,,26,,37,,37,,37,,9,,6,,12,,13,,18,,8,,10,,3.1,0.9,2.6,0.8,2.9,0.8,2.9,0.8,3.0,0.8,0.7,0.4,0.5,0.3,0.8,0.4,0.9,0.4,1.2,0.5,0.6,0.3,0.6,0.3,50.23,22.65,44.28,18.92,55.42,12.79,49.38,12.50,4.53,1.06,5.31,1.16,5.02,0.93,4.70,0.84
Community area,Norwood Park,10,"41,109",-87.80345100,41.98524800,1,,2,,1,,0,,6,,1,,1,,1,,0,,0,,0,,2,,0.2,0.4,0.5,0.6,0.2,0.3,0.0,,0.8,0.5,0.3,0.5,0.3,0.5,0.3,0.4,0.0,,0.0,,0.0,,0.5,0.6,50.38,28.08,59.41,23.41,56.61,15.20,54.75,16.43,2.82,0.90,3.06,0.84,3.34,0.94,3.48,0.93
Community area,Jefferson Park,11,"26,201",-87.77116500,41.97883600,1,,5,,9,,7,,7,,1,,2,,1,,1,,1,,0,,0,,0.3,0.5,1.4,1.0,2.1,1.1,1.7,1.0,1.9,1.1,0.3,0.4,0.5,0.6,0.3,0.5,0.2,0.4,0.3,0.4,0.0,,0.0,,64.47,29.58,57.36,31.78,61.79,17.89,62.46,27.00,4.16,1.39,3.08,1.20,2.90,0.81,2.71,0.76
Community area,Forest Glen,12,"19,579",-87.75835800,41.99393800,2,,3,,0,,0,,0,,0,,0,,1,,1,,0,,0,,1,,0.7,0.8,1.0,0.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.4,0.7,0.4,0.7,0.0,,0.0,,0.4,0.6,59.87,18.77,76.06,16.47,72.51,13.47,76.01,16.10,2.35,1.02,2.33,1.08,2.70,1.11,2.77,1.03
Community area,North Park,13,"17,522",-87.72357800,41.98365100,7,,5,,5,,6,,7,,3,,3,,5,,4,,4,,2,,1,,2.0,1.3,1.5,1.1,1.1,0.8,1.5,1.0,1.9,1.2,0.8,0.7,0.8,0.8,1.4,1.0,1.1,0.9,1.2,1.0,0.5,0.6,0.3,0.5,56.49,24.51,40.80,23.16,37.88,17.59,41.51,14.37,4.09,1.23,4.51,1.31,3.94,1.13,3.60,1.31
Community area,Albany Park,14,"48,549",-87.72155800,41.96807800,20,,24,,35,,29,,29,,12,,13,,11,,14,,16,,25,,13,,1.7,0.6,2.2,0.7,2.5,0.7,2.0,0.6,2.0,0.6,0.8,0.4,0.8,0.4,0.7,0.3,0.9,0.4,1.0,0.4,1.4,0.5,0.8,0.4,66.61,37.88,50.33,28.11,50.58,11.46,43.28,12.14,3.98,0.96,3.38,0.83,3.69,1.01,3.15,0.86
Community area,Portage Park,15,"63,038",-87.76340100,41.95404300,12,,13,,16,,23,,20,,4,,9,,4,,8,,4,,7,,13,,1.0,0.5,1.1,0.5,1.1,0.5,1.6,0.6,1.4,0.5,0.3,0.2,0.7,0.4,0.3,0.2,0.6,0.3,0.3,0.2,0.5,0.3,0.9,0.4,45.39,13.98,50.43,29.56,67.44,15.14,56.81,14.09,3.23,0.74,3.31,0.76,2.78,0.56,2.88,0.57
Community area,Irving Park,16,"51,911",-87.72345700,41.95358900,13,,13,,17,,19,,13,,3,,5,,7,,7,,13,,9,,18,,1.4,0.6,1.3,0.6,1.5,0.6,1.6,0.6,1.1,0.5,0.3,0.2,0.4,0.3,0.5,0.3,0.5,0.3,0.9,0.4,0.6,0.3,1.3,0.5,63.28,18.98,69.06,20.12,64.78,12.27,69.44,19.91,2.79,0.56,2.55,0.56,2.67,0.62,2.81,0.62
Community area,Dunning,17,"43,120",-87.80601500,41.94652200,3,,5,,5,,3,,4,,2,,2,,1,,1,,0,,1,,2,,0.5,0.5,0.9,0.7,0.8,0.6,0.4,0.4,0.6,0.5,0.3,0.4,0.3,0.4,0.2,0.3,0.1,0.2,0.0,,0.2,0.2,0.3,0.4,39.89,19.18,49.01,23.63,50.05,13.90,47.84,12.53,3.19,0.95,3.65,0.99,3.58,0.82,2.93,0.69
Community area,Montclare,18,"14,412",-87.79803300,41.92930600,1,,1,,2,,4,,0,,0,,0,,0,,1,,4,,4,,3,,0.4,0.6,0.4,0.7,0.6,0.7,1.3,1.1,0.0,,0.0,,0.0,,0.0,,0.3,0.5,1.2,1.0,1.2,1.0,0.8,0.7,42.82,36.99,45.70,36.45,37.26,32.50,42.41,40.06,3.55,2.28,4.00,2.09,3.42,1.85,3.45,1.57
Community area,Belmont Cragin,19,"78,151",-87.76550200,41.92727500,32,,32,,42,,46,,58,,18,,12,,19,,22,,24,,27,,35,,1.5,0.4,1.6,0.5,1.4,0.4,1.7,0.4,2.1,0.4,0.7,0.3,0.4,0.2,0.6,0.2,0.7,0.3,0.8,0.3,0.8,0.3,1.1,0.3,42.99,11.22,44.63,11.20,50.59,9.90,47.13,10.16,3.68,0.73,3.53,0.69,3.36,0.64,2.97,0.54
Community area,West Ridge,2,"77,139",-87.69501700,42.00158300,47,,51,,82,,71,,67,,13,,15,,21,,24,,24,,22,,25,,2.3,0.5,2.4,0.6,3.4,0.6,3.2,0.6,3.1,0.6,0.7,0.3,0.8,0.3,1.1,0.4,1.2,0.4,1.2,0.4,1.1,0.4,1.3,0.4,55.19,13.00,58.21,13.02,53.66,12.90,50.74,9.89,3.87,0.82,3.75,0.87,3.70,0.79,3.90,0.82
Community area,Hermosa,20,"24,127",-87.73474100,41.92435300,19,,18,,23,,22,,24,,6,,7,,10,,4,,8,,7,,10,,2.6,1.0,2.7,1.0,2.5,0.8,2.4,0.8,2.6,0.9,0.7,0.5,0.7,0.4,1.0,0.5,0.4,0.3,0.8,0.4,0.7,0.4,1.0,0.5,35.44,22.01,34.05,22.51,33.81,19.21,37.10,22.35,5.33,1.50,4.55,1.43,4.63,1.39,4.80,1.30
Community area,Avondale,21,"36,245",-87.71121900,41.93867300,11,,15,,8,,10,,24,,6,,9,,3,,8,,6,,11,,12,,1.5,0.7,1.9,0.8,0.9,0.5,1.0,0.5,2.3,0.8,0.6,0.4,0.8,0.4,0.3,0.3,0.7,0.4,0.5,0.3,0.8,0.4,1.0,0.4,32.03,15.43,34.41,18.04,49.05,14.54,49.62,25.82,3.35,0.91,2.73,0.77,2.46,0.70,2.16,0.61
Community area,Logan Square,22,"71,742",-87.69914900,41.92276800,18,,17,,17,,19,,31,,9,,13,,11,,9,,16,,23,,23,,1.4,0.6,1.2,0.5,1.0,0.4,1.3,0.5,1.9,0.6,0.6,0.3,0.7,0.3,0.6,0.3,0.5,0.3,0.8,0.3,1.1,0.4,1.1,0.4,60.36,21.77,61.35,17.31,67.00,13.43,67.72,13.40,2.69,0.53,2.19,0.42,2.09,0.41,2.14,0.41
Community area,Humboldt Park,23,"53,832",-87.72091700,41.90008000,43,,46,,58,,71,,93,,15,,27,,22,,25,,40,,39,,38,,2.5,0.6,2.9,0.7,2.7,0.6,3.2,0.6,4.2,0.7,0.7,0.3,1.1,0.4,0.9,0.3,1.1,0.4,1.7,0.4,1.5,0.4,1.5,0.4,33.58,19.89,37.13,22.10,54.74,14.63,47.28,13.14,5.14,1.10,4.45,1.01,4.61,1.12,4.61,1.05
Community area,West Town,24,"87,942",-87.67635800,41.90121600,11,,13,,15,,8,,17,,4,,3,,1,,9,,4,,9,,10,,0.8,0.4,0.8,0.3,0.9,0.4,0.6,0.3,1.3,0.5,0.3,0.3,0.2,0.2,0.1,0.1,0.6,0.3,0.3,0.2,0.5,0.3,0.7,0.3,78.45,25.69,77.38,26.92,71.21,20.32,75.91,25.31,2.18,0.40,1.84,0.38,1.87,0.52,1.87,0.52
Community area,Austin,25,"96,753",-87.76311700,41.89411300,106,,107,,139,,141,,152,,50,,56,,70,,73,,110,,91,,100,,4.1,0.6,4.6,0.7,4.0,0.5,4.0,0.5,4.7,0.6,1.4,0.3,1.5,0.3,1.9,0.4,1.8,0.3,2.8,0.4,2.3,0.4,2.5,0.4,55.03,21.53,60.61,23.30,60.25,14.90,60.95,19.08,7.29,1.04,7.70,1.06,6.97,0.99,7.27,0.99
Community area,West Garfield Park,26,"17,423",-87.73023300,41.87860200,14,,18,,31,,35,,42,,9,,10,,9,,5,,18,,13,,19,,2.6,1.1,4.1,1.5,4.2,1.2,5.0,1.4,6.5,1.6,1.2,0.6,1.3,0.7,1.0,0.6,0.6,0.4,2.1,0.8,1.6,0.7,2.4,0.9,72.14,50.70,72.35,46.73,51.65,22.18,67.23,40.95,8.74,1.80,9.12,2.02,8.43,1.70,7.81,1.58
Community area,East Garfield Park,27,"19,995",-87.70589200,41.87892300,12,,10,,14,,19,,24,,9,,8,,5,,8,,10,,10,,8,,2.0,1.0,2.1,1.1,1.9,0.8,2.6,1.0,3.5,1.1,1.1,0.6,1.0,0.6,0.6,0.4,0.9,0.5,1.1,0.6,1.1,0.6,1.0,0.6,50.11,37.28,54.68,50.20,65.47,36.72,67.80,50.86,7.74,1.65,8.43,1.89,8.25,1.73,8.00,1.68
Community area,Near West Side,28,"67,817",-87.66351300,41.87401600,5,,8,,12,,12,,8,,9,,4,,6,,4,,7,,8,,3,,0.5,0.4,0.8,0.4,1.0,0.5,1.2,0.6,0.8,0.4,0.8,0.5,0.4,0.3,0.5,0.3,0.3,0.3,0.6,0.4,0.7,0.4,0.3,0.3,68.60,35.95,72.54,34.94,70.07,25.92,71.73,26.21,3.87,1.13,4.07,1.25,4.29,0.95,4.32,0.92
Community area,North Lawndale,29,"34,817",-87.71721800,41.86019700,28,,32,,57,,53,,72,,26,,17,,12,,20,,32,,34,,34,,2.4,0.7,3.0,0.9,3.6,0.8,3.2,0.7,4.4,0.8,1.5,0.5,0.9,0.4,0.6,0.3,1.0,0.4,1.7,0.5,1.7,0.5,1.8,0.5,53.72,29.44,60.78,36.52,56.75,20.12,53.35,26.04,7.26,1.40,7.14,1.40,7.33,1.83,7.29,1.49
Community area,Uptown,3,"52,255",-87.65589900,41.96582200,7,,3,,8,,14,,16,,2,,1,,3,,5,,5,,5,,5,,1.0,0.6,0.4,0.4,0.9,0.5,1.5,0.7,1.7,0.7,0.2,0.3,0.1,0.2,0.3,0.3,0.5,0.4,0.5,0.4,0.5,0.3,0.5,0.4,63.91,43.36,61.70,32.07,59.32,24.54,55.17,27.99,5.92,1.71,5.81,1.67,4.58,1.02,4.28,1.00
Community area,South Lawndale,30,"71,402",-87.71400000,41.83909100,59,,62,,84,,64,,114,,31,,32,,34,,44,,42,,43,,47,,2.8,0.6,2.8,0.6,2.9,0.5,2.1,0.4,3.9,0.6,0.9,0.3,0.8,0.2,0.9,0.2,1.0,0.3,1.0,0.2,0.9,0.2,0.9,0.2,36.55,21.63,40.64,23.09,49.23,10.48,52.21,13.24,3.64,1.56,3.12,1.31,2.68,1.27,2.38,1.00
Community area,Lower West Side,31,"33,716",-87.66757000,41.85027700,15,,14,,13,,13,,13,,4,,6,,4,,5,,8,,13,,11,,2.5,1.0,2.4,1.0,1.6,0.7,1.6,0.7,1.5,0.7,0.4,0.3,0.5,0.3,0.3,0.2,0.3,0.2,0.5,0.3,0.7,0.3,0.7,0.3,56.15,37.22,64.58,48.07,60.18,25.62,62.78,28.58,3.93,1.11,4.36,1.09,3.64,1.21,3.64,1.11
Community area,Loop,32,"39,135",-87.62519400,41.87888100,2,,2,,5,,1,,3,,0,,2,,1,,3,,1,,1,,0,,0.7,0.8,0.5,0.6,1.2,0.9,0.3,0.5,0.9,0.8,0.0,,0.6,0.7,0.3,0.5,1.0,0.9,0.4,0.7,0.4,0.7,0.0,,95.73,103.94,93.59,115.10,84.80,89.89,81.65,100.19,2.19,0.97,2.47,1.03,3.05,1.03,2.76,0.97
Community area,Near South Side,33,"27,044",-87.62034400,41.85719600,1,,0,,0,,2,,0,,1,,1,,0,,0,,0,,1,,1,,0.2,0.4,0.0,,0.0,,0.5,0.6,0.0,,0.2,0.4,0.2,0.4,0.0,,0.0,,0.0,,0.2,0.4,0.3,0.5,71.79,81.71,93.70,120.58,53.67,20.92,68.34,33.65,2.14,1.58,1.75,1.43,1.27,1.07,1.76,1.12
Community area,Armour Square,34,"13,847",-87.63397600,41.84208300,2,,0,,1,,2,,5,,2,,1,,0,,0,,1,,0,,0,,0.7,0.8,0.0,,0.2,0.4,0.5,0.6,1.2,0.9,0.5,0.6,0.3,0.4,0.0,,0.0,,0.3,0.5,0.0,,0.0,,65.64,55.68,72.33,53.65,52.44,32.29,55.57,39.84,5.48,2.56,4.99,2.36,5.13,2.00,4.64,1.75
Community area,Douglas,35,"17,630",-87.61868000,41.83512200,2,,3,,2,,3,,3,,0,,0,,1,,2,,3,,0,,0,,0.5,0.6,0.9,0.9,0.4,0.5,0.6,0.6,0.7,0.6,0.0,,0.0,,0.2,0.4,0.4,0.5,0.7,0.6,0.0,,0.0,,55.59,63.60,77.91,67.53,62.33,24.82,50.35,29.19,7.75,2.35,7.48,2.10,5.89,1.36,5.25,1.27
Community area,Oakland,36,"4,280",-87.60321700,41.82375400,0,,1,,0,,1,,2,,1,,1,,0,,0,,0,,0,,1,,0.0,,0.7,1.1,0.0,,0.5,0.8,0.9,1.1,0.4,0.7,0.4,0.7,0.0,,0.0,,0.0,,0.0,,0.4,0.7,95.49,87.44,97.15,92.29,96.35,85.02,89.22,62.71,6.79,2.32,7.31,2.81,7.17,2.48,6.84,2.34
Community area,Fuller Park,37,"2,549",-87.63242700,41.80908200,3,,1,,11,,6,,6,,2,,0,,2,,3,,7,,3,,1,,6.4,5.9,2.6,4.2,12.0,5.6,6.5,4.2,7.0,4.5,2.3,2.6,0.0,,1.8,2.1,2.6,2.4,6.9,4.2,3.0,2.8,1.3,2.1,36.60,151.47,98.39,151.45,96.63,142.51,96.62,143.79,10.69,4.95,10.98,4.74,13.05,5.67,9.63,4.13
Community area,Grand Boulevard,38,"24,586",-87.61786000,41.81294700,9,,4,,6,,13,,15,,4,,5,,6,,10,,14,,11,,17,,1.6,0.8,0.7,0.6,0.8,0.5,1.8,0.8,2.6,1.1,0.6,0.5,0.6,0.5,0.7,0.5,1.1,0.6,1.4,0.6,1.1,0.6,2.1,0.8,66.50,40.53,74.06,41.40,58.47,33.63,67.65,32.33,6.35,1.49,6.50,1.49,7.23,1.59,6.19,1.41
Community area,Kenwood,39,"14,716",-87.59618600,41.80891800,2,,2,,2,,7,,4,,0,,0,,0,,0,,0,,2,,1,,0.6,0.7,0.6,0.7,0.5,0.5,1.8,1.1,1.3,1.1,0.0,,0.0,,0.0,,0.0,,0.0,,0.5,0.5,0.3,0.4,74.60,44.50,72.84,37.35,48.76,29.12,53.80,26.18,5.02,1.83,5.29,1.81,3.83,1.15,3.59,1.12
Community area,Lincoln Square,4,"40,412",-87.68751300,41.97518200,10,,4,,8,,9,,6,,3,,2,,4,,8,,9,,3,,7,,1.7,0.9,0.7,0.5,1.0,0.6,1.2,0.7,0.8,0.5,0.4,0.4,0.2,0.3,0.5,0.4,1.0,0.6,1.2,0.7,0.4,0.4,1.0,0.6,69.95,37.28,64.61,22.03,67.17,20.74,69.97,19.67,2.69,0.82,2.73,0.86,2.28,0.74,2.23,0.77
Community area,Washington Park,40,"12,709",-87.61793600,41.79235600,3,,6,,12,,11,,8,,3,,2,,2,,2,,7,,1,,3,,0.8,0.7,1.6,1.1,2.4,1.1,2.1,1.1,1.9,1.1,0.6,0.6,0.4,0.5,0.4,0.4,0.4,0.4,1.1,0.7,0.2,0.3,0.6,0.6,50.03,68.25,74.74,54.57,57.58,32.09,51.75,37.72,6.61,2.49,8.62,2.71,6.86,2.47,5.39,1.88
Community area,Hyde Park,41,"23,914",-87.59230500,41.79408800,3,,4,,6,,5,,2,,0,,1,,1,,1,,3,,0,,4,,1.0,0.9,1.2,1.0,1.4,0.9,1.2,0.9,0.8,1.0,0.0,,0.5,0.8,0.3,0.4,0.3,0.4,0.7,0.7,0.0,,1.3,1.0,51.84,53.86,48.71,53.93,75.12,45.59,77.00,48.79,3.62,0.97,3.49,1.05,3.10,1.20,2.26,0.90
